y2_id,clean_id,canonical_wine_id,match_score,prod_banco,vivino_produtor,vinho_banco,vivino_nome
338534,241014,906771,1.3,francis boulard,francis boulard,champagne extra brut rose de saignee,rose de saignee extra brut champagne
348890,252427,178676,1.3,chateau pascaud,chateau pascaud,bordeaux superieur,bordeaux superieur
325323,227897,82657,1.3,domaine cauvard,domaine cauvard,pommard les noizons,pommard les noizons
325356,228180,121878,1.3,camille braun,camille braun,cremant dalsace brut rose,cremant dalsace brut rose
309646,210356,111294,1.3,chateau du barry,chateau du barry,bordeaux,bordeaux
293150,192912,424339,1.3,laurent barth,laurent barth,pinot noir s05 p164,s05 p164 pinot noir
338586,242440,41480,1.3,louis jadot,louis jadot,savignylesbeaune premier cru narbantons,savignylesbeaune premier cru narbantons
393814,302691,32866,1.3,chateau levangile,chateau levangile,pomerol,pomerol
393817,300836,698245,1.3,seguinmanuel,seguinmanuel,vosneromanee aux communes,aux communes vosneromanee
309683,210293,116059,1.3,chaume arnaud,chaume arnaud,marselan,marselan
293152,192914,454331,1.3,laurent barth,laurent barth,pinot dalsace,pinot dalsace
327022,229909,39506,1.3,comte armand,comte armand,volnay,volnay
309692,210302,732484,1.3,les oliviers,les oliviers,grenache cinsault rose,grenache cinsault rose
327044,229609,83945,1.3,domaine arnouxlachaux,domaine arnouxlachaux,vosneromanee,vosneromanee
185450,111308,522786,1.3,salatin,salatin,pinot nero,pinot nero
293156,192533,776868,1.3,chateau cambon,chateau cambon,brouilly,brouilly
185472,108712,4014,1.3,louis latour,louis latour,domaine de valmoissine pinot noir,domaine de valmoissine pinot noir
327415,230080,838355,1.3,maison lenvoye,maison lenvoye,morgon cote du py,morgon cote du py
293223,193106,30781,1.3,chateau pradeaux,chateau pradeaux,bandol rose,bandol rose
327642,228945,37651,1.3,domaine marquis dangerville,domaine marquis dangerville,volnay 1er cru caillerets,volnay caillerets 1er cru
291041,190486,460327,1.3,clos du tueboeuf,clos du tueboeuf,rouillon cheverny,rouillon cheverny
293247,193212,1248789,1.3,barbara lebled,barbara lebled,sans toi gamay,gamay sans toi
395371,304469,225462,1.3,chateau les gravieres de la brandille,chateau les gravieres de la brandille,bordeaux superieur,bordeaux superieur
338766,242678,49966,1.3,maison champy,maison champy,bourgogne pinot noir,bourgogne pinot noir
185944,110180,159469,1.3,domaine gros frere et soeur,domaine gros frere et soeur,echezeaux grand cru,echezeaux grand cru
291072,191203,1358478,1.3,camille melinand,camille melinand,chiroubles,chiroubles
328927,231814,75698,1.3,maxime magnon,maxime magnon,rozeta corbieres,rozeta corbieres
339366,243250,658728,1.3,la belle angele,la belle angele,cabernet sauvignon,cabernet sauvignon
339109,242998,5112,1.3,chateau palmer,chateau palmer,grand vin de chateau palmer grand cru classe,grand vin de chateau palmer grand cru classe
394121,302979,234286,1.3,domaine tortochot,domaine tortochot,chambertin grand cru,chambertin grand cru
394118,302976,106544,1.3,domaine arnouxlachaux,domaine arnouxlachaux,vosneromanee premier cru les suchots,vosneromanee premier cru les suchots
339020,242837,172193,1.3,lostal cazes,lostal cazes,rose,rose
329168,232059,30438,1.3,domaine la garrigue,domaine la garrigue,vacqueyras,vacqueyras
293604,193519,774078,1.3,herve villemade,herve villemade,cheverny rouge,cheverny rouge
185478,108718,12176,1.3,banfi,banfi,chianti classico,chianti classico
290227,190251,223355,1.3,clos du jaugueyron,clos du jaugueyron,nout margaux,nout margaux
330454,233390,1506913,1.3,mont gravet,mont gravet,gsm,gsm
293621,193394,31019,1.3,domaine vacheron,domaine vacheron,sancerre rouge,sancerre rouge
330769,233498,30783,1.3,chateau hosanna,chateau hosanna,pomerol,pomerol
330771,233500,272108,1.3,domaine des souchons,domaine des souchons,morgon,morgon
339095,242984,1474,1.3,louis jadot,louis jadot,gevreychambertin premier cru petite chapelle,gevreychambertin premier cru petite chapelle
310830,212485,82208,1.3,chateau le puy,chateau le puy,emilien,emilien
290738,190230,278340,1.3,matassa,matassa,brutal,brutal
331707,233843,1098517,1.3,chateau la coste,chateau la coste,le rouge,le rouge
293643,193679,139858,1.3,domaine de lhorizon,domaine de lhorizon,lesprit de lhorizon rouge,lesprit de lhorizon rouge
331747,234775,842693,1.3,michel sarrazin,michel sarrazin,bourgogne rouge,bourgogne rouge
294075,192566,572193,1.3,maison leroy,maison leroy,bourgogne gamay,bourgogne gamay
331778,234746,802092,1.3,caroline morey,caroline morey,chassagnemontrachet rouge,chassagnemontrachet rouge
185036,109600,726028,1.3,nicolas champagneux,nicolas champagneux,coterotie la dedicace,la dedicace coterotie
310841,212497,459269,1.3,dupeuble,dupeuble,beaujolais nouveau,beaujolais nouveau
331789,234757,33633,1.3,chateau taillefer,chateau taillefer,pomerol,pomerol
331790,234758,166821,1.3,louis latour,louis latour,volnay en chevret 1er cru,volnay 1er cru en chevret
331912,234967,234286,1.3,domaine tortochot,domaine tortochot,chambertin grand cru,chambertin grand cru
339225,243098,144266,1.3,chateau daigueville,chateau daigueville,cotes du rhone rouge,cotes du rhone rouge
339220,243093,1153302,1.3,louis jadot,louis jadot,beaune premier cru greves,beaune premier cru greves
339219,243092,140240,1.3,louis jadot,louis jadot,clos vougeot grand cru,clos vougeot grand cru
332011,234186,24473,1.3,auguste clape,auguste clape,le vin des amis,le vin des amis
332028,235217,111109,1.3,julien sunier,julien sunier,fleurie,fleurie
332041,234360,470526,1.3,jean marc pillot,jean marc pillot,santenay les champs claude,santenay les champs claude
332046,234367,18599,1.3,alain voge,alain voge,cornas les chailles,cornas les chailles
185480,108720,741348,1.3,domaine santa duc,domaine santa duc,gigondas clos derriere vieille,clos derriere vieille gigondas
332047,234368,13719,1.3,clos fourtet,clos fourtet,premier grand cru classe b saintemilion grand cru,saintemilion grand cru premier grand cru classe
291341,191432,1236990,1.3,domaine des moriers,domaine des moriers,beaujolaisvillages,beaujolaisvillages
394833,303911,225462,1.3,chateau les gravieres de la brandille,chateau les gravieres de la brandille,bordeaux superieur,bordeaux superieur
348988,252298,628431,1.3,justin girardin,justin girardin,bourgogne pinot noir,bourgogne pinot noir
332605,235457,1260570,1.3,baron philippe de rothschild,baron philippe de rothschild,baronesa p,baronesa p
294298,193070,131673,1.3,domaine le briseau,domaine le briseau,patapon rouge,patapon rouge
333279,236353,1730231,1.3,famille roux,famille roux,pinot noir les cotilles,les cotilles pinot noir
290357,188888,15806,1.3,cos destournel,cos destournel,cos destournel,cos destournel
311337,213071,32004,1.3,saintdamien,saintdamien,gigondas,gigondas
294303,193075,293119,1.3,domaine du possible,domaine du possible,fruit du hasard,le fruit du hasard
311380,211916,31781,1.3,chateau desclans,chateau desclans,les clans,s clans
333492,235894,680441,1.3,laherte freres,laherte freres,champagne rose de meunier extra brut nv,rose de meunier extra brut champagne
295011,194643,875303,1.3,les tetes,les tetes,tete au bois dormant rose,tete au bois dormant rose
394730,303679,821588,1.3,chateau des bachelards comtesse de vazeilles,chateau des bachelards comtesse de vazeilles,moulinavent,moulinavent
394701,303549,1336511,1.3,domaine de vernus,domaine de vernus,chiroubles,chiroubles
401636,311049,83700,1.3,chateau faugeres,chateau faugeres,saintemilion grand cru classe,saintemilion grand cru grand cru classe
294743,194704,42726,1.3,chateau marsac seguineau,chateau marsac seguineau,margaux,margaux
185497,110472,67579,1.3,chateau de grand pre,chateau de grand pre,morgon,morgon
185498,110473,187993,1.3,chateau de grand pre,chateau de grand pre,fleurie,fleurie
334223,237440,262417,1.3,domaine du mas blanc,domaine du mas blanc,banyuls vieilles vignes,vieilles vignes banyuls
334262,237132,262417,1.3,domaine du mas blanc,domaine du mas blanc,vieilles vignes banyuls,vieilles vignes banyuls
401637,311050,622116,1.3,chateau bouscasse,chateau bouscasse,madiran,madiran
340498,244448,573724,1.3,pamplune,pamplune,rose,rose
334598,237847,261913,1.3,domaine du mas blanc,domaine du mas blanc,banyuls collection,banyuls collection
334599,237848,33435,1.3,chateau plince,chateau plince,pomerol,pomerol
334649,237399,300284,1.3,penya,penya,rouge cotes catalanes,cotes catalanes rouge
340692,244583,107773,1.3,albert bichot,albert bichot,cremant de bourgogne brut rose,cremant de bourgogne brut rose
516041,435987,343419,1.3,clos de la roilette,clos de la roilette,cuvee tardive fleurie,cuvee tardive fleurie
334868,238184,74987,1.3,chateau henri bonnaud,chateau henri bonnaud,palette rose,palette rose
334879,237788,261913,1.3,domaine du mas blanc,domaine du mas blanc,collection banyuls,banyuls collection
334940,238236,66180,1.3,domaine marcel lapierre,domaine marcel lapierre,morgon,morgon
290630,189941,1680860,1.3,domaine la vigne grande,domaine la vigne grande,fuzitu,fuzitu
312034,212386,20178,1.3,domaine de la romaneeconti,domaine de la romaneeconti,romaneeconti grand cru,romaneeconti grand cru
335002,238278,34096,1.3,chateau leoville poyferre,chateau leoville poyferre,saintjulien grand cru classe,saintjulien grand cru classe
335003,238279,67708,1.3,chateau saintpierre,chateau saintpierre,saintjulien grand cru classe,saintjulien grand cru classe
295024,194650,805826,1.3,pierre richard,pierre richard,cremant du jura perles dautomne brut rose,perles dautomne cremant de jura rose brut
291545,189932,911996,1.3,paul cherrier,paul cherrier,sancerre rose,sancerre rose
335008,238284,58340,1.3,chateau le gay,chateau le gay,pomerol,pomerol
335010,238286,25939,1.3,chateau clinet,chateau clinet,pomerol,pomerol
312188,213612,547454,1.3,cave de saumur,cave de saumur,saumur rouge les pouches,les pouches saumur rouge
335088,237510,58685,1.3,chateau la france,chateau la france,bordeaux superieur,bordeaux superieur
312242,213930,1321403,1.3,peyrassol,peyrassol,la croix rose,la croix rose
335292,238712,935949,1.3,alex foillard,alex foillard,brouilly,brouilly
312261,214009,88703,1.3,jeanpierre moueix,jeanpierre moueix,bordeaux,bordeaux
335314,238797,998865,1.3,clos de mez,clos de mez,fleurie mademoiselle m,mademoiselle m fleurie
335342,238905,1599462,1.3,olivier leflaive,olivier leflaive,pernandvergelesses rouge,pernandvergelesses rouge
335371,237684,236457,1.3,domaine de la vougeraie,domaine de la vougeraie,bonnes mares grand cru,bonnes mares grand cru
312374,214002,1707645,1.3,domaine de longuet,domaine de longuet,merlot,merlot
295356,195188,13844,1.3,faiveley,faiveley,mercurey 1er cru clos des myglands,mercurey 1er cru clos des myglands
403600,313169,27263,1.3,robert groffier,robert groffier,bourgogne pinot noir,bourgogne pinot noir
