source_wine_id,canonical_wine_id,alias_source_type,status,current_vivino_id,current_suppressed_at,current_suppress_reason
1741777,2314,d17_20260419_221902,eligible,,,
1741778,2317,d17_20260419_221902,eligible,,,
1741779,2318,d17_20260419_221902,eligible,,,
1741780,2320,d17_20260419_221902,eligible,,,
1741785,16478,d17_20260419_221902,eligible,,,
1741787,835204,d17_20260419_221902,eligible,,,
1741793,25543,d17_20260419_221902,eligible,,,
1741799,70811,d17_20260419_221902,eligible,,,
1741800,99856,d17_20260419_221902,eligible,,,
1741809,101326,d17_20260419_221902,eligible,,,
1741813,1149511,d17_20260419_221902,eligible,,,
1741820,14666,d17_20260419_221902,eligible,,,
1741828,70976,d17_20260419_221902,eligible,,,
1741834,226290,d17_20260419_221902,eligible,,,
1741840,211250,d17_20260419_221902,eligible,,,
1741849,125635,d17_20260419_221902,eligible,,,
1741851,21934,d17_20260419_221902,eligible,,,
1741852,22087,d17_20260419_221902,eligible,,,
1741854,3259,d17_20260419_221902,eligible,,,
1741856,3260,d17_20260419_221902,eligible,,,
1741857,286035,d17_20260419_221902,eligible,,,
1741859,131392,d17_20260419_221902,eligible,,,
1741866,15306,d17_20260419_221902,eligible,,,
1741869,12468,d17_20260419_221902,eligible,,,
1741870,977571,d17_20260419_221902,eligible,,,
1741877,38324,d17_20260419_221902,eligible,,,
1741881,60707,d17_20260419_221902,eligible,,,
1741882,10486,d17_20260419_221902,eligible,,,
1741888,38096,d17_20260419_221902,eligible,,,
1741891,19677,d17_20260419_221902,eligible,,,
1741892,19675,d17_20260419_221902,eligible,,,
1741898,310867,d17_20260419_221902,eligible,,,
1741899,20590,d17_20260419_221902,eligible,,,
1741904,364442,d17_20260419_221902,eligible,,,
1741907,16661,d17_20260419_221902,eligible,,,
1741912,12418,d17_20260419_221902,eligible,,,
1741925,215889,d17_20260419_221902,eligible,,,
1741932,584359,d17_20260419_221902,eligible,,,
1741942,41957,d17_20260419_221902,eligible,,,
1741945,90009,d17_20260419_221902,eligible,,,
1741949,30745,d17_20260419_221902,eligible,,,
1741952,584359,d17_20260419_221902,eligible,,,
1741960,69102,d17_20260419_221902,eligible,,,
1741968,28162,d17_20260419_221902,eligible,,,
1741969,20590,d17_20260419_221902,eligible,,,
