pair_id,source_wine_id,canonical_wine_id,verdict,source_vivino_ids,canonical_vivino_ids,shared_vivino_ids,source_top_producer,canonical_top_producer,reason
2246,2112916,16524,CONFIRMA,75893|75894|9177733|1804688|2036935|1518861|75913|10718706|75907|75909,75893|1822718,75893,Dry Creek Vineyard,Dry Creek Vineyard,Mesmo wine id Vivino 75893 nas duas buscas
2247,2112959,1332747,CONFIRMA,9432852|2690969|7830264|11441991|11057297|10748258|11974019,9432852|2690969|7830264,9432852|2690969|7830264,Nazzari Franco,Nazzari Franco,Mesmo wine id Vivino 9432852 nas duas buscas
2248,2113015,799354,CONFIRMA,1633345|1773771|1609469|5338791|5584722|3241933|1244507|7137783|6245913|4986520,5584722,5584722,François Cazin - Le Petit Chambord,François Cazin - Le Petit Chambord,Mesmo wine id Vivino 5584722 nas duas buscas
2249,2113105,221028,CONFIRMA,1690155|7209774|2932174|1409762|1400651|5778099|1623564|2396179|1317954|1801979,1690155|7209774|1801979|5325054|1725301|4300675|1253439|4895139|1723226|1788050,1690155|7209774|1801979,François Cotat,François Cotat,Mesmo wine id Vivino 1690155 nas duas buscas
2250,2113256,182526,CONFIRMA,1179154|99919|4077793|1559877|2305079|13309575|5495047|7871153|1914920|1446696,1559877|1726223|3252752|1700073|1148394|2072529|2346823|3228416|80437|10222700,1559877,Domaine François Gaunoux,Domaine Jean-Michel Gaunoux,Mesmo wine id Vivino 1559877 nas duas buscas
2251,2113511,375829,CONFIRMA,6376792|2846034|6379400|8887147|4431539|3118953|4315244|2211345|13636801|4359838,2211345,2211345,Fredi Torres,Familia Torres,Mesmo wine id Vivino 2211345 nas duas buscas
2252,2113848,746876,CONFIRMA,5123049|6256916|2910985|4175845|6318025|5123045|1366532|5123051|2508038|8189193,5123049|5411954|3085084|6256916,5123049|6256916,Dirty & Rowdy,Dirty & Rowdy,Mesmo wine id Vivino 5123049 nas duas buscas
2253,2113854,674879,CONFIRMA,4371645|4547324|6883498,4371645|4547324|6883498,4371645|4547324|6883498,Dirty & Rowdy,Dirty & Rowdy,Mesmo wine id Vivino 4371645 nas duas buscas
2254,2114371,1590023,CONFIRMA,12193147,12193147|2281694|6285098|1577222|6606878|2069498,12193147,Bruna Grimaldi,San Martino,Mesmo wine id Vivino 12193147 nas duas buscas
2255,2114650,26186,CONFIRMA,95997|4025949|95996,95997|4025949|7298509,95997|4025949,Domaine Chantal Lescure,Domaine Chantal Lescure,Mesmo wine id Vivino 95997 nas duas buscas
2256,2114670,98514,CONFIRMA,1239489|11458364,1239489,1239489,Domaine Ballorin,Domaine Ballorin,Mesmo wine id Vivino 1239489 nas duas buscas
2257,2114926,1245976,CONFIRMA,8590523|1137272|7270370|6255037|6176225|8976222|2265281|5813427,8590523,8590523,Domaine du Nozay,Domaine du Nozay,Mesmo wine id Vivino 8590523 nas duas buscas
2258,2114982,133076,CONFIRMA,1381127,1381127|1801505|79505|95029|3995703|1128189|1319848|68574|1629715|1209968,1381127,Domaine Bart,Domaine Bart,Mesmo wine id Vivino 1381127 nas duas buscas
2259,2115011,58557,CONFIRMA,1164181|2522109|1916897|4457654|1250004|4457615|10017599|9697354|4457670|4457669,1164181|1916897|2522109|4457654|2327291|1250004|4457615|10017599|9697354|4457670,1164181|2522109|1916897|4457654|1250004|4457615|10017599|9697354|4457670,Ghislaine Barthod,Ghislaine Barthod,Mesmo wine id Vivino 1164181 nas duas buscas
2260,2115213,216355,CONFIRMA,1674925|5349161|1997743|5806175,1674925|1997743|5806175|9471291|3442655|7553767|6887216|8427301|4706633|3420391,1674925|1997743|5806175,Bel Avenir,Vignerons de Bel Air,Mesmo wine id Vivino 1674925 nas duas buscas
2261,2115225,920480,CONFIRMA,6485905|2184824,6485905,6485905,Bel Avenir,Bel Avenir,Mesmo wine id Vivino 6485905 nas duas buscas
2262,2115511,628054,CONFIRMA,3893719|2214053|4922563|1555203|5360069|4120521|1173155|1187558|1192469|2672673,3893719|1614855|1451350|79472|1192712|8238912|1226819|3119494|4625442|3119365,3893719,Domaine de Bellène,Maison Roche de Bellene,Mesmo wine id Vivino 3893719 nas duas buscas
2263,2115642,1290112,CONFIRMA,9003605|8610137,9003605|9952957|8610137,9003605|8610137,Vignoble Belot,Vignoble Belot,Mesmo wine id Vivino 9003605 nas duas buscas
2264,2115914,1199293,CONFIRMA,8183678|1885441|11045785|1775770,8183678|11045785|8248314|1373757|11779015|9415420,8183678|11045785,Domaine Bernard Millot,Domaine Bernard Millot,Mesmo wine id Vivino 8183678 nas duas buscas
2265,2116072,885281,CONFIRMA,6298991|1396909|1973750|1598552|1605710|2405998|1494670|15622|1499065|1797188,6298991|1396909,6298991|1396909,Domaine Berthoumieu,Domaine Berthoumieu,Mesmo wine id Vivino 6298991 nas duas buscas
2266,2116401,875538,CONFIRMA,6245732|1187959|6238084|6245717|10682897,6245732|7709492|5790699|2569093|2100858|2924142|3197237|1287476|7780485|6233878,6245732,Domaine de la Bonne Tonne,Domaine de la Bonne Tonne,Mesmo wine id Vivino 6245732 nas duas buscas
2267,2116447,13521,CONFIRMA,39084|2062461|39094|1767384|1637795|13587346|39154|11933114|13615539|39134,39084|2062461|39094|1767384,39084|2062461|39094|1767384,Domaine de Pellehaut,Domaine de Pellehaut,Mesmo wine id Vivino 39084 nas duas buscas
2268,2116448,13521,CONFIRMA,39084|2062461|39094|1767384|1637795|13587346|39154|11933114|13615539|39134,39084|2062461|39094|1767384,39084|2062461|39094|1767384,Domaine de Pellehaut,Domaine de Pellehaut,Mesmo wine id Vivino 39084 nas duas buscas
2269,2116619,649594,CONFIRMA,4102090|4285136|4372527|2042598|3804022|5294606|4964530|8716215|5342740|7328596,4102090|4372527,4102090|4372527,Domaine de Saint Pierre,Domaine de Saint Pierre,Mesmo wine id Vivino 4102090 nas duas buscas
